data_type,material_type,year,month,type,month_usage_by_type,month_sum_all_types,year_sum_by_type
Pounds of Materials Used,Grain Products,2008,1,Malt and malt products,374165152,592595514,4497468603
Pounds of Materials Used,Grain Products,2008,1,Corn and corn products,57563519,592595514,726766392
Pounds of Materials Used,Grain Products,2008,1,Rice and rice products,72402143,592595514,814375092
Pounds of Materials Used,Grain Products,2008,1,Barley and barley products,3800844,592595514,58048335
Pounds of Materials Used,Grain Products,2008,1,Wheat and wheat products,1177186,592595514,18207676
Pounds of Materials Used,Non-Grain Products,2008,1,Sugar and syrups,78358212,592595514,848033865
Pounds of Materials Used,Non-Grain Products,2008,1,Hops (dry),4506546,592595514,54889519
Pounds of Materials Used,Non-Grain Products,2008,1,Hops (used as extracts),621912,592595514,6019292
Pounds of Materials Used,Grain Products,2008,2,Malt and malt products,355687578,568220736,4497468603
Pounds of Materials Used,Grain Products,2008,2,Corn and corn products,59513161,568220736,726766392
Pounds of Materials Used,Grain Products,2008,2,Rice and rice products,66061597,568220736,814375092
Pounds of Materials Used,Grain Products,2008,2,Barley and barley products,3236714,568220736,58048335
Pounds of Materials Used,Grain Products,2008,2,Wheat and wheat products,1240983,568220736,18207676
Pounds of Materials Used,Non-Grain Products,2008,2,Sugar and syrups,80188744,568220736,848033865
Pounds of Materials Used,Non-Grain Products,2008,2,Hops (dry),1815271,568220736,54889519
Pounds of Materials Used,Non-Grain Products,2008,2,Hops (used as extracts),476688,568220736,6019292
Pounds of Materials Used,Grain Products,2008,3,Malt and malt products,399855819,628294334,4497468603
Pounds of Materials Used,Grain Products,2008,3,Corn and corn products,60800221,628294334,726766392
Pounds of Materials Used,Grain Products,2008,3,Rice and rice products,72629666,628294334,814375092
Pounds of Materials Used,Grain Products,2008,3,Barley and barley products,6950276,628294334,58048335
Pounds of Materials Used,Grain Products,2008,3,Wheat and wheat products,1888250,628294334,18207676
Pounds of Materials Used,Non-Grain Products,2008,3,Sugar and syrups,78907213,628294334,848033865
Pounds of Materials Used,Non-Grain Products,2008,3,Hops (dry),6067167,628294334,54889519
Pounds of Materials Used,Non-Grain Products,2008,3,Hops (used as extracts),1195722,628294334,6019292
Pounds of Materials Used,Grain Products,2008,4,Malt and malt products,388639443,617389736,4497468603
Pounds of Materials Used,Grain Products,2008,4,Corn and corn products,61555980,617389736,726766392
Pounds of Materials Used,Grain Products,2008,4,Rice and rice products,73309991,617389736,814375092
Pounds of Materials Used,Grain Products,2008,4,Barley and barley products,3912088,617389736,58048335
Pounds of Materials Used,Grain Products,2008,4,Wheat and wheat products,1404733,617389736,18207676
Pounds of Materials Used,Non-Grain Products,2008,4,Sugar and syrups,81199989,617389736,848033865
Pounds of Materials Used,Non-Grain Products,2008,4,Hops (dry),6864440,617389736,54889519
Pounds of Materials Used,Non-Grain Products,2008,4,Hops (used as extracts),503072,617389736,6019292
Pounds of Materials Used,Grain Products,2008,5,Malt and malt products,411307544,654792307,4497468603
