ID,ctrl_PSMs,exp_PSMs,PSM_fc,PSM_log2fc,PSM_zscore,bait,OG_category,XENLA_GeneNames,HUMAN_GeneNames,OG_annotation,OG_category_annotation
ENOG411DGHA,0,202,199.69381107491859,7.641645811140076,14.199547221066297,dnai2,Z,dnai2.S,NA,"Dynein, axonemal, intermediate chain 2",Cytoskeleton
ENOG411CW1E,80,265,3.2304660795431692,1.6917423265714642,9.896579677208342,dnai2,I,"loc100494633.L, loc100494633.S, loc100485054.L",NA,vitellogenin,Lipid metabolism
ENOG411DGH7,0,46,46.23452768729642,5.530898745632537,6.756895537163874,dnai2,Z,dnai1.L,DNAI1,"Dynein, axonemal, intermediate chain 1",Cytoskeleton
ENOG411CT94,1,35,17.70684039087948,4.146234895397212,5.641303669176448,dnai2,Z,"loc101730961.L, dnah11.L, dnah11-like.2.L, dnah9.S, dnah11-like.2.S","DNAH9, DNAH11, DNAH17","Dynein, axonemal heavy chain",Cytoskeleton
ENOG411CQ77,9,52,5.213680781758958,2.3823022536307366,5.465054569941329,dnai2,F,"cps1.L, cad.L","CAD, CPS1","Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",Nucleotide metabolism and transport
ENOG411DGHH,72,133,1.8057204051581812,0.8525745255326547,4.163198204911854,dnai2,C,pc.S,PC,"Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second",Energy production and conversion
ENOG411CPDK,158,241,1.4972241001372586,0.5822901759451388,4.018703753832925,dnai2,Z,"tubb.S, tubb2b.L, loc100498230.S, tubb3.S, tubb4a.L","TUBB3, TUBB6, TUBB4B, TUBB2B, TUBB, TUBB2A, TUBB4A","Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)",Cytoskeleton
ENOG411D7QW,65,117,1.7587602408449312,0.8145588239582872,3.7599638893011886,dnai2,Z,MGC97820.L,NA,"Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)",Cytoskeleton
ENOG411CQKW,1,16,8.361563517915311,3.063772735205239,3.617993841436115,dnai2,E,oplah.L,OPLAH,5-oxoprolinase (ATP-hydrolysing),Amino Acid metabolis and transport
ENOG411CQT4,18,46,2.4333961940682327,1.2829712321889515,3.4462727622393894,dnai2,M,"gfpt1.S, gfpt2.L","GFPT1, GFPT2",glutamine-fructose-6-phosphate transaminase,Cell wall/membrane/envelop biogenesis
ENOG411CTA9,14,39,2.6232356134636268,1.3913473932337435,3.385903148041707,dnai2,C,slc25a13.S,"SLC25A12, SLC25A13","solute carrier family 25 (aspartate glutamate carrier), member",Energy production and conversion
ENOG411CVHA,0,11,11.804560260586321,3.561272394676056,3.302094575423669,dnai2,S,wdhd1.L,WDHD1,WD repeat and HMG-box DNA binding protein 1,Function Unknown
ENOG411CRKW,0,10,10.82084690553746,3.435741512592197,3.1483666953652576,dnai2,TW,"Xelaev18010553m.g, arvcf.S, ctnnd1.L, arvcf.L, ctnnd1.S","CTNND1, ARVCF","Catenin (Cadherin-associated protein), delta 1",NA
ENOG411CW05,2,15,5.246471226927253,2.3913473932337435,3.1304998897856104,dnai2,J,ctu2.L,CTU2,cytosolic thiouridylase subunit 2 homolog (S. pombe),Tranlsation
ENOG411CPSC,37,70,1.8379907423281332,0.8781295000159962,3.115377495461505,dnai2,S,"loc100498358.L, loc100489234.S, Xelaev18014080m.g, Xelaev18014079m.g, fam115a-like.L","TCAF2, TCAF1, TCAF2C","Family with sequence similarity 115, member",Function Unknown
ENOG411DF1I,7,24,3.0741042345276877,1.6201660837296243,3.0177051942350546,dnai2,J,"eif4g2.L, eif4g2.S",NA,Eukaryotic translation initiation factor 4 gamma,Tranlsation
ENOG411CU2D,0,9,9.8371335504886,3.298237988842262,2.986748876917781,dnai2,C,NA,ALDH18A1,"Aldehyde dehydrogenase 18 family, member A1",Energy production and conversion
ENOG411CSFD,0,9,9.8371335504886,3.298237988842262,2.986748876917781,dnai2,L,NA,PARP1,Poly (ADP-ribose) polymerase 1,Replication and repair
ENOG411CRG5,51,87,1.6647456777749938,0.7353017944511047,2.977486510883127,dnai2,Z,"tuba4a.L, tubal3.L, tuba1b.S, tubal3.S, tuba4b.S, loc100490289-like.L, Xetrov90024521m.L, Xelaev18044483m.g, Xelaev18047021m.g, tuba1b.L, tuba4a.S","TUBA1B, TUBA1A, TUBA3C, TUBA3D, TUBA1C, TUBA4A, TUBA3E","Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)",Cytoskeleton
ENOG411CYUD,12,32,2.4971185166624905,1.3202642951722607,2.970150261985708,dnai2,U,NA,COPB1,"The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins",Intracellular trafficing and secretion
ENOG411CWSX,126,180,1.4019851753058554,0.48747109426593893,2.955773264178063,dnai2,O,"hsp90aa1.1.L, hsp90ab1.L","HSP90AB4P, HSP90AA2P, HSP90AA5P, HSP90AA1, HSP90AB1","Heat shock protein 90kDa alpha (Cytosolic), class",Post-translational modification
ENOG411CUKV,11,30,2.541259500542888,1.3455437036206186,2.924050868940299,dnai2,S,"gbp4.L, Xelaev18001648m.g, gbp7.S, Xelaev18036220m.g, Xelaev18001975m.g, gbp6.1, gbp5.S, Xelaev18036221m.g, Xelaev18001974m.g, gbp2.L","GBP4, GBP6, GBP7",Guanylate binding protein,Function Unknown
ENOG411CW2A,1,11,5.9022801302931605,2.561272394676056,2.868806308878135,dnai2,O,"hectd1.S, hectd1.L",HECTD1,HECT domain containing E3 ubiquitin protein ligase 1,Post-translational modification
ENOG411CY65,29,56,1.869055374592834,0.9023093125111228,2.86126834938704,dnai2,Z,tuba3c.L,NA,"Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)",Cytoskeleton
ENOG411CX8K,2,13,4.590662323561347,2.1987023152913476,2.818378409327898,dnai2,U,"ranbp2.L, ranbp2.S","RANBP2, RGPD4, RGPD3, RGPD5; RGPD6, RGPD8, RGPD2, RGPD1",RAN binding protein 2,Intracellular trafficing and secretion
