class,cap_shape,cap_surface,cap_color,odor,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
poisonous,convex,scaly,red,spicy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,leaves
edible,convex,smooth,red,none,close,broad,white,enlarging,missing,partial,white,2,evanescent,white,clustered,waste
edible,convex,smooth,gray,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,flat,scaly,brown,almond,close,broad,pink,enlarging,rooted,partial,white,1,pendant,black,solitary,paths
edible,flat,fibrous,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
poisonous,convex,fibrous,yellow,foul,close,broad,chocolate,enlarging,bulbous,partial,white,1,large,chocolate,solitary,grasses
poisonous,convex,smooth,brown,spicy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,woods
edible,bell,scaly,white,almond,close,broad,brown,enlarging,club,partial,white,1,pendant,brown,numerous,grasses
edible,knobbed,smooth,brown,none,close,broad,orange,enlarging,missing,partial,orange,1,pendant,buff,clustered,leaves
edible,bell,smooth,white,anise,close,broad,black,enlarging,club,partial,white,1,pendant,brown,scattered,grasses
edible,convex,smooth,white,almond,close,broad,black,enlarging,club,partial,white,1,pendant,black,scattered,grasses
edible,bell,scaly,yellow,anise,close,broad,gray,enlarging,club,partial,white,1,pendant,brown,numerous,meadows
poisonous,flat,smooth,gray,foul,close,broad,chocolate,tapering,bulbous,partial,white,1,pendant,chocolate,scattered,grasses
poisonous,flat,scaly,yellow,foul,close,broad,gray,enlarging,bulbous,partial,white,1,large,chocolate,solitary,grasses
edible,bell,smooth,white,almond,close,broad,black,enlarging,club,partial,white,1,pendant,black,scattered,meadows
edible,flat,scaly,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
poisonous,convex,scaly,brown,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,black,scattered,grasses
poisonous,flat,fibrous,yellow,foul,close,broad,pink,enlarging,bulbous,partial,white,1,large,chocolate,several,paths
edible,flat,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
poisonous,convex,fibrous,pink,creosote,crowded,narrow,gray,enlarging,bulbous,partial,white,1,pendant,brown,scattered,woods
edible,bell,smooth,brown,none,close,broad,yellow,enlarging,missing,partial,brown,1,pendant,buff,several,leaves
poisonous,flat,smooth,red,fishy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,woods
edible,flat,smooth,buff,none,close,broad,white,enlarging,missing,partial,white,2,evanescent,white,clustered,waste
poisonous,convex,scaly,yellow,foul,close,broad,chocolate,enlarging,bulbous,partial,white,1,large,chocolate,solitary,grasses
poisonous,flat,scaly,brown,foul,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,woods
poisonous,flat,scaly,yellow,foul,close,broad,pink,enlarging,bulbous,partial,white,1,large,chocolate,several,grasses
poisonous,convex,fibrous,pink,creosote,close,narrow,pink,enlarging,bulbous,partial,white,1,pendant,black,several,woods
edible,bell,fibrous,gray,none,crowded,broad,white,enlarging,missing,partial,white,2,pendant,white,scattered,grasses
edible,convex,scaly,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,smooth,gray,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,flat,smooth,yellow,anise,crowded,narrow,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
poisonous,flat,scaly,brown,fishy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,woods
poisonous,convex,smooth,brown,fishy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,woods
poisonous,flat,scaly,brown,foul,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,paths
poisonous,flat,scaly,gray,foul,close,broad,gray,enlarging,bulbous,partial,white,1,large,chocolate,several,woods
poisonous,flat,scaly,red,fishy,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,leaves
edible,convex,scaly,white,almond,close,broad,gray,enlarging,club,partial,white,1,pendant,black,numerous,meadows
edible,flat,scaly,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
poisonous,convex,smooth,gray,foul,close,broad,chocolate,tapering,bulbous,partial,white,1,pendant,chocolate,scattered,grasses
edible,flat,fibrous,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
poisonous,convex,scaly,brown,foul,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,woods
edible,flat,smooth,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
poisonous,flat,scaly,yellow,foul,close,broad,gray,enlarging,bulbous,partial,white,1,large,chocolate,solitary,paths
poisonous,flat,fibrous,gray,foul,close,broad,gray,enlarging,bulbous,partial,white,1,large,chocolate,several,paths
edible,convex,smooth,gray,none,crowded,broad,white,enlarging,missing,partial,white,2,pendant,white,scattered,grasses
edible,convex,scaly,green,none,close,narrow,chocolate,enlarging,missing,partial,white,1,flaring,chocolate,several,woods
edible,flat,smooth,red,none,close,broad,red,enlarging,missing,partial,white,2,evanescent,white,clustered,waste
edible,convex,scaly,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,white,almond,crowded,narrow,pink,tapering,bulbous,partial,white,1,pendant,purple,several,woods
poisonous,convex,smooth,red,foul,close,narrow,buff,tapering,missing,partial,white,1,evanescent,white,several,woods
edible,convex,fibrous,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,flat,smooth,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,scaly,yellow,almond,close,broad,brown,enlarging,rooted,partial,white,1,pendant,brown,solitary,paths
