Timestamp,Where are you located? (Country and/or nearest Major city or hubs names),Biotech sub industry?,[OPTIONAL] Company Name,Company Details - public/private/start-up/ subsidiary of ,Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,[OPTIONAL]  Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value
5/8/2022 0:17:11,test,Academia/Research,poop,Subsidiary,,pimp,High School or Equivalent,1,123,123,Not Applicable/None,123,12e
5/8/2022 0:38:18,Los Angeles,Consulting,,Private,50-200,Senior Manager,Masters or Equivalent,6,160000,16000,30000,10000,
5/8/2022 0:39:38,San Diego,Pharmaceutical (including “big pharma”),,Public,50-200,Research Associate I,Bachelors or Equivalent,0,55000,4400,Not Applicable/None,,
5/8/2022 0:40:47,Illinois,Academia/Research,,Academia/College/Universities,5000+,Researcher 1,Bachelors or Equivalent,2,28000,Not Applicable/None,Not Applicable/None,,
5/8/2022 0:40:49,New Jersey,Pharmaceutical (including “big pharma”),Wuxi Biologics,Public,1000-5000,Manufacturing technician III,Bachelors or Equivalent,6,72800,5824,Not Applicable/None,,
5/8/2022 0:42:01,Near boston,Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Senior scientist I,PhD or Equivalent,0,120000,8%,Not Applicable/None,7000,15000
5/8/2022 0:55:17,Toronto,Pharmaceutical (including “big pharma”),,Start-up,1-50,Software Engineer (DevOps),Associate’s Degree or Equivalent,20,140000,Not Applicable/None,Not Applicable/None,,
5/8/2022 0:57:19,Bay Area,Pharmaceutical (including “big pharma”),,Private,1000-5000,Research Associate II,Bachelors or Equivalent,4,82000,12.50%,Not Applicable/None,,
5/8/2022 1:00:21,Seattle,Medical Devices,,Public,1000-5000,Bioinformatics Scientist I,PhD or Equivalent,1,140000,11000,15000,15000,
5/8/2022 1:09:14,Seattle,Academia/Research,,Start-up,50-200,Sr. Scientist,PhD or Equivalent,4,140000,21000,Not Applicable/None,0,
5/8/2022 1:09:44,NJ,Pharmaceutical (including “big pharma”),,Private,5000+,Contract Assistant Scientist,Bachelors or Equivalent,2,54745,Not Applicable/None,Not Applicable/None,,
5/8/2022 1:20:40,San Diego,Pharmaceutical (including “big pharma”),,Public,200-1000,Research Associate II,Masters or Equivalent,2,68000,Not Applicable/None,Not Applicable/None,,
5/8/2022 1:24:52,"Santa Barbara, CA",Medical Devices,,Private,1-50,Head of Production,Bachelors or Equivalent,2,63648,Not Applicable/None,Not Applicable/None,,
5/8/2022 1:26:39,San Diego,Medical Devices,Illumina ,Public,5000+,Scientist I ,PhD or Equivalent,0,103000,8240,15000,0,20000
5/8/2022 1:26:42,South San Francisco,Pharmaceutical (including “big pharma”),Pact Pharma,Private,50-200,Scientist 1,Bachelors or Equivalent,13,131200,10,Not sure,2000,
5/8/2022 1:27:32,Boston,Pharmaceutical (including “big pharma”),Intellia Therapeutics,Public,200-1000,Associate Scientist,Masters or Equivalent,4,100000,10000,Not Applicable/None,,
5/8/2022 1:29:01,"Kansas City, MO",Pharmaceutical (including “big pharma”),,Public,5000+,Associate Scientist II,Bachelors or Equivalent,1,51500,Not Applicable/None,Not Applicable/None,,
5/8/2022 1:29:24,San Francisco Bay Area,Academia/Research,,Start-up,1-50,Bioinformatics Scientist,PhD or Equivalent,1,155000,Not Applicable/None,Not Applicable/None,,
5/8/2022 1:30:57,RDU,Pharmaceutical (including “big pharma”),,Public,5000+,Associate Process Engineer,Bachelors or Equivalent,2,72000,7200,Not Applicable/None,,
5/8/2022 1:36:17,San francisco,Pharmaceutical (including “big pharma”),,Private,5000+,Senior clinical scientist,PhD or Equivalent,11,220000,40000,45000,,
5/8/2022 1:53:41,MVA,Pharmaceutical (including “big pharma”),,Public,1000-5000,Scientist I,PhD or Equivalent,2,108000,15000,85000,,
5/8/2022 2:16:36,Bay area,Pharmaceutical (including “big pharma”),,Public,5000+,Research scientist,Masters or Equivalent,2,95000,6500,Not Applicable/None,5000,9000
5/8/2022 2:25:37,France,Pharmaceutical (including “big pharma”),Sanofi,Public,5000+,Principal scientist,M.D./PharmD/D.D.S. or Equivalent,7,75000,7500,11500,0,100000
5/8/2022 2:53:07,Los Angeles,Pharmaceutical (including “big pharma”),,Public,200-1000,Principal Engineer,Bachelors or Equivalent,8,190000,38000,Not Applicable/None,,10000
5/8/2022 3:06:16,Bay Area,Pharmaceutical (including “big pharma”),,Start-up,1-50,Research Associate ,Bachelors or Equivalent,1,75000,Not Applicable/None,Not Applicable/None,,
5/8/2022 3:19:22,Bay area,Pharmaceutical (including “big pharma”),Gilead,Public,5000+,SRA 1,Bachelors or Equivalent,5,100000,7500,5000,5000,5000
5/8/2022 4:46:54,Switzerland ,Research devices,,Private,50-200,Scientific Affairs Scientist,PhD or Equivalent,3,88000,7000,Not Applicable/None,,
5/8/2022 5:23:46,Philadelphia ,Pharmaceutical (including “big pharma”),Janssen,Public,5000+,Sr. Scientist ,PhD or Equivalent,6,142000,15%,15% LTI for ~50% people in pay band,,
5/8/2022 5:56:58,Boston,Pharmaceutical (including “big pharma”),,Public,50-200,Scientist 1,PhD or Equivalent,1,101000,12000,Not Applicable/None,0,
5/8/2022 6:48:45,Boston,Academia/Research,Arbor Biotechnologies ,Start-up,50-200,Senior Research Associate ,Associate’s Degree or Equivalent,4,82000,6150,Not Applicable/None,,15000
5/8/2022 6:56:02,Baltimore/Washington DC,Pharmaceutical (including “big pharma”),,Public,5000+,Scientist 1,PhD or Equivalent,0,88000,3500,Not Applicable/None,0,0
